Feature	Gain	Cover	Frequency
rf_006_015	0.093330313887758	0.00308355746686232	0.000372309219730132
rf_017_015	0.0364134305145973	0.00198150391183275	0.000648720610135837
ctrx_quarter_normalizado	0.0179045360674455	0.00109253806891948	0.000671284805270996
mcaja_ahorro_rank_lag1	0.0148988816201739	0.00184152733440273	0.00110000451283903
mcuenta_corriente_rank_lag2	0.0145072866010538	0.00280719690955811	0.00114513290310935
rf_001_025	0.0138334976368888	0.00119300773927282	0.00200257231824541
rf_010_026	0.0115548049252201	0.000927339802238162	0.000535899634460039
mautoservicio_rank_lag2	0.0111817689504565	0.00134975930438937	0.00177693036689381
Master_status_tend6	0.0109717570584777	0.00128471817698051	0.000834875220000903
rf_011_028	0.0107980138620761	0.000883491451558832	0.000389232366081502
mv_status07_rank_delta2	0.0105997879275958	0.000340470621354264	0.000197436707432646
mv_status07_rank_delta1	0.00832754486104696	0.00068803982007246	0.000208718805000226
mtarjeta_visa_consumo_rank_tend6	0.00798192739586577	0.00141905231533393	0.00129180017148788
ctarjeta_visa_transacciones_tend6	0.00766079277644396	0.00164415878195605	0.00112820975675798
Master_status_delta2	0.00726343964390201	0.00143641628305728	0.000891285707838801
rf_019_024	0.00719087524933267	0.00077513755299491	0.000885644659055012
Visa_mconsumospesos_rank_lag2	0.00712351516700004	0.00178818742331419	0.00333950088000361
rf_007_023	0.00674129513328745	0.00114929199943613	0.00238052258675933
mcuenta_debitos_automaticos_rank_lag1	0.00626180668472307	0.00162064642530239	0.000885644659055012
Master_delinquency_lag1	0.00531645261916319	0.00056357225877745	0.000676925854054786
rf_002_020	0.00522058270722745	0.00122679787499832	0.000214359853784016
rf_008_024	0.00504580130371441	0.00105737572843336	0.00231847105013764
Visa_delinquency_tend6	0.00484031719116122	0.00146145415478788	0.000643079561352047
mpagomiscuentas_rank_lag1	0.00441153575743258	0.000898666979041099	0.000631797463784467
rf_007_015	0.00424824477008511	0.000520753126193124	0.000361027122162552
mprestamos_personales_rank_lag2	0.00424676967060739	0.00290046442774963	0.000812311024865743
Visa_mpagospesos_rank_lag1	0.00416001558896689	0.00143947608854914	0.00275847285527325
rf_010_023	0.00412700047352096	0.00150923537965782	0.00352001444108489
mactivos_margen_rank_delta2	0.00384712650212429	0.00337352661181466	0.00616002527189855
mpasivos_margen_rank_lag1	0.00379639298107546	0.00223649923120646	0.00261744663567851
mcuenta_corriente_rank_tend6	0.00375512315392973	0.00282593372728751	0.00174308407419107
mpasivos_margen_rank_lag2	0.00361438694535189	0.00175141991865412	0.00292206327000316
vm_Finiciomora_tend6	0.00359844789060672	0.00193549809269342	0.000547181732027619
