envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	45000	117000	117000	-3000	-3000	-3000	
2	66000	114000	114000	114000	-6000	-6000	
3	63000	111000	111000	111000	-9000	-9000	
4	60000	108000	108000	108000	-12000	-12000	
5	57000	105000	105000	105000	-15000	-15000	
6	78000	102000	102000	102000	-18000	102000	
7	99000	99000	99000	219000	-21000	99000	
8	96000	96000	96000	216000	-24000	96000	
9	117000	93000	93000	213000	93000	93000	
10	138000	90000	210000	210000	90000	90000	
11	135000	87000	207000	207000	87000	87000	
12	132000	84000	204000	204000	84000	84000	
13	153000	201000	201000	201000	81000	81000	
14	174000	198000	198000	198000	198000	78000	
15	195000	195000	195000	195000	315000	75000	
16	192000	192000	192000	192000	312000	72000	
17	237000	189000	189000	189000	429000	189000	
18	234000	186000	186000	186000	426000	186000	
19	231000	183000	183000	183000	423000	183000	
20	228000	180000	180000	180000	420000	180000	
21	225000	177000	177000	177000	417000	177000	
22	246000	174000	174000	174000	414000	294000	
23	243000	171000	171000	171000	411000	291000	
24	264000	168000	168000	288000	408000	288000	
25	261000	165000	165000	285000	405000	285000	
26	258000	162000	162000	282000	402000	282000	
27	279000	159000	279000	279000	399000	279000	
28	276000	156000	276000	276000	396000	276000	
29	273000	153000	273000	273000	393000	273000	
30	270000	150000	270000	270000	390000	270000	
31	267000	147000	267000	267000	387000	267000	
32	288000	264000	264000	264000	384000	264000	
33	309000	261000	381000	261000	381000	261000	
34	306000	258000	378000	258000	378000	258000	
35	351000	255000	375000	375000	375000	375000	
36	372000	252000	492000	372000	372000	372000	
37	393000	249000	489000	369000	489000	369000	
38	390000	246000	486000	366000	486000	366000	
39	411000	243000	483000	363000	483000	483000	
40	408000	240000	480000	360000	480000	480000	
41	405000	237000	477000	357000	477000	477000	
42	426000	354000	474000	354000	474000	474000	
43	423000	351000	471000	351000	471000	471000	
44	420000	348000	468000	348000	468000	468000	
45	417000	345000	465000	345000	465000	465000	
46	438000	342000	462000	462000	462000	462000	
47	435000	339000	459000	459000	459000	459000	
48	456000	336000	576000	456000	456000	456000	
49	453000	333000	573000	453000	453000	453000	
50	450000	330000	570000	450000	450000	450000	
51	447000	327000	567000	447000	447000	447000	
52	444000	324000	564000	444000	444000	444000	
53	441000	321000	561000	441000	441000	441000	
54	438000	318000	558000	438000	438000	438000	
55	435000	315000	555000	435000	435000	435000	
56	432000	312000	552000	432000	432000	432000	
57	453000	309000	549000	429000	549000	429000	
58	474000	306000	546000	546000	546000	426000	
59	471000	303000	543000	543000	543000	423000	
60	492000	3e+05	540000	540000	660000	420000	
61	489000	297000	537000	537000	657000	417000	
62	486000	294000	534000	534000	654000	414000	
63	507000	291000	531000	531000	771000	411000	
64	528000	408000	528000	528000	768000	408000	
65	549000	405000	525000	525000	765000	525000	
66	570000	402000	642000	522000	762000	522000	
67	567000	399000	639000	519000	759000	519000	
68	564000	396000	636000	516000	756000	516000	
69	561000	393000	633000	513000	753000	513000	
70	582000	510000	630000	510000	750000	510000	
71	603000	627000	627000	507000	747000	507000	
72	624000	744000	624000	504000	744000	504000	
73	621000	741000	621000	501000	741000	501000	
74	642000	738000	618000	498000	858000	498000	
75	663000	855000	615000	495000	855000	495000	
76	684000	852000	732000	492000	852000	492000	
77	705000	849000	729000	489000	969000	489000	
78	702000	846000	726000	486000	966000	486000	
79	699000	843000	723000	483000	963000	483000	
80	720000	840000	720000	480000	1080000	480000	
81	741000	837000	717000	597000	1077000	477000	
82	762000	834000	834000	594000	1074000	474000	
83	783000	831000	831000	591000	1191000	471000	
84	804000	828000	948000	588000	1188000	468000	
85	825000	825000	945000	585000	1185000	585000	
86	846000	822000	1062000	582000	1182000	582000	
87	867000	939000	1059000	579000	1179000	579000	
88	888000	936000	1176000	576000	1176000	576000	
89	885000	933000	1173000	573000	1173000	573000	
90	882000	930000	1170000	570000	1170000	570000	
91	879000	927000	1167000	567000	1167000	567000	
92	876000	924000	1164000	564000	1164000	564000	
93	921000	921000	1161000	681000	1281000	561000	
94	942000	918000	1158000	798000	1278000	558000	
95	939000	915000	1155000	795000	1275000	555000	
96	936000	912000	1152000	792000	1272000	552000	
97	957000	909000	1149000	909000	1269000	549000	
98	954000	906000	1146000	906000	1266000	546000	
99	975000	903000	1143000	903000	1263000	663000	
100	996000	9e+05	1140000	1020000	1260000	660000	
101	1041000	897000	1137000	1137000	1257000	777000	
102	1038000	894000	1134000	1134000	1254000	774000	
103	1035000	891000	1131000	1131000	1251000	771000	
104	1056000	888000	1128000	1128000	1368000	768000	
105	1053000	885000	1125000	1125000	1365000	765000	
106	1050000	882000	1122000	1122000	1362000	762000	
107	1071000	999000	1119000	1119000	1359000	759000	
