long,lat,id,club,estadio,web,facebook,twitter,contacto,objeto,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4497663377443,-34.5453056273984,1,Club Atletico River Plate,Monumental Antonio Vespucio Liberti,http://www.cariverplate.com.ar/,https://www.facebook.com/riverplateoficial,https://twitter.com/@CARPoficial,54 11) 4789 1200,Estadio,Av. Figueroa Alcorta,7597,Belgrano,Comuna 13,1428,C1428BCL
-58.5206633023988,-34.6353302822112,2,Club Atlético Vélez Sarsfield,José Amalfitani,http://www.velezsarsfield.com.ar/,https://www.facebook.com/velezsarsfield,https://twitter.com/Velez,(54-11) 4641-5653/5763/4014,Estadio,Av. Juan B. Justo,9200,Liniers,Comuna 9,1408,C1408AKU
-58.3647578638825,-34.6357361054272,3,Club Atlético Boca Juniors,Alberto J. Armando,http://www.bocajuniors.com.ar/,https://www.facebook.com/BocaJuniors,https://twitter.com/BocaJrsOficial,5777-1200,Estadio,Brandsen,805,Boca,Comuna 4,1161,C1161AAQ
-58.3965659311413,-34.6434616828113,4,Club Atlético Huracán,Tomás Adolfo Ducó,http://www.cahuracan.com/,https://www.facebook.com/CAHuracan,https://twitter.com/CAHuracan,4911-9313/0757,Estadio,Av. Amancio Alcorta,2570,Parque Patricios,Comuna 4,1437,C1437HTN
-58.4402206537969,-34.652037774849,5,Club Atlético San Lorenzo de Almagro,Pedro Bidegain,http://www.sanlorenzo.com.ar/,https://www.facebook.com/SanLorenzo,https://twitter.com/SanLorenzo,4016-2600.,Estadio,Av. Perito Moreno y Varela,,Flores,Comuna 7,,
-58.4645255572806,-34.6578677846918,6,Club Deportivo Español de Buenos Aires,Estadio Nueva España,http://www.cde.com.ar/,https://www.facebook.com/pages/Club-Deportivo-Espa%C3%B1ol-Oficial/165965500136401?fref=ts,https://twitter.com/prensacde,4619-1515/1516,Estadio,Santiago de Compostela,3801,Parque Avellaneda,Comuna 9,1407,C1407MDB
-58.4997533034693,-34.6680548186919,7,Club Atlético Nueva Chicago,República de Mataderos,http://canuevachicago.com.ar,https://www.facebook.com/PrensaNuevaChicago,https://twitter.com/prensachicago,4687-2538,Estadio,Justo Suárez,6900,Mataderos,Comuna 9,1440,C1440BHH
-58.4730282035083,-34.6062764076556,8,Asociación Atlética Argentinos Juniors,Diego Armando Maradona,https://www.argentinosjuniors.com.ar/,https://www.facebook.com/AAAJOficial,https://twitter.com/PrensaAAAJ,4581-1243,Estadio,Gavilan,2151,Villa Gral. Mitre,Comuna 11,1416,C1416ACS
-58.4476874806095,-34.6185840408399,9,Club Ferro Carril Oeste,Arquitecto Ricardo Etcheverri,http://www.ferrocarriloeste.org.ar/,https://www.facebook.com/FerroOficial,https://twitter.com/FerroOficial,4431-8282,Estadio,Av. Avellaneda,1240,Caballito,Comuna 6,1405,C1405CNZ
-58.4978449274547,-34.6165260649432,10,Club Atlético All Boys,Estadio Islas Malvinas,http://www.caallboys.com.ar/,https://www.facebook.com/caallboysoficial,https://twitter.com/caallboys,4639-8688,Estadio,Av. Álvarez Jonte,4180,Monte Castro,Comuna 10,1407,C1407GOV
